name;type;price;fuel-type;year_of_make;kim;power;place
BMW;rad 3;37000;Benzín;2021;89999;135;G20 / G80
Volkswagen;Arteon;32000;Diesel;2019;90000;140;4 (5 miest)
Peugeot;5008;16990;Diesel;2016;78000;110;OE mod.14
Mercedes;GL trieda;32300;Benzín;2013;172140;285;5 (7 miest)
Škoda;Fabia;10400;Benzín+Plyn;2021;71000;59;J
Land Rover;Defender;32000;Diesel;1999;170000;83;LD
Škoda;Octavia Combi;17990;Diesel;2017;178320;135;5 (5 miest)
Fiat;Ducato;35830;Diesel;2022;900;118;290 mod.21
Volkswagen;Touareg;20000;Diesel;2015;199957;150;7P mod.14
Volkswagen;Touareg;19990;Diesel;2012;197000;180;7P
Citroen;Jumper;17500;Diesel;2016;279561;130;mod.14
Volkswagen;Golf Variant;12900;Diesel;2018;211500;110;mod.17
Toyota;Auris Touring Sports;12500;Hybrid (benzín/elektro);2015;152000;73;mod.15
Mercedes;G trieda;55555;Diesel;2012;138000;155;463
Mercedes;GLE trieda;118800;Diesel;2022;9900;243;C167
Volvo;XC90;68000;Hybrid (diesel/elektro);2020;45000;173;5 (5 miest)
Mercedes;V trieda;59999;Diesel;2020;245000;176;5 (6 miest)
Mercedes;CLS;49900;Benzín;2015;108000;410;X218 mod.14
Mercedes;GLE trieda;47900;Diesel;2018;39850;190;W166
Mercedes;Sprinter;30000;Diesel;2012;250000;140;906
Hyundai;i30;13340;Diesel;2017;110000;81;5 (5 miest)
Fiat;Ducato;13900;Diesel;2015;450000;110;(4 miesta)
Volkswagen;Touareg;13500;Diesel;2011;365000;176;7P
Audi;Q5;62800;Diesel;2021;18786;150;FYB mod.21
BMW;X5;47800;Diesel;2016;97138;230;F15
Mercedes;GLE trieda;46900;Diesel;2018;77900;190;C292
Chevrolet;Camaro;44999;Benzín;2019;23000;250;2 (4 miesta)
Mercedes;GLC;43900;Benzín;2017;132433;270;X253
Mercedes;E trieda;42990;Benzín;2020;37500;145;W213
Volkswagen;ID.4;39000;Elektro;2021;21000;150;5 (5 miest)
Alfa Romeo;Tonale;38900;Diesel;2023;7685;96;5
Volkswagen;T6 Multivan;37100;Diesel;2017;127000;150;T6
Kia;XCeed;34990;Benzín;2023;5;104;5
BMW;rad 5;34200;Diesel;2018;79000;140;G30
Audi;Q7;32990;Diesel;2015;165000;200;4MB
Alfa Romeo;Tonale;32850;Benzín;2023;5;96;5
Audi;A7;31500;Diesel;2015;134200;235;4GA mod.15
Fiat;Scudo;30500;Diesel;2022;14500;106;500
Mercedes;E trieda;25900;Diesel;2018;195000;143;W213
Škoda;Kodiaq;23000;Diesel;2017;160000;140;NS
Mercedes;C trieda;21900;Diesel;2017;98500;100;W205
Audi;A4 Avant;10750;Diesel;2013;336079;180;8K5 mod.12
Škoda;Octavia Combi;8990;Diesel;2016;160000;66;5E
Škoda;Rapid;8900;Benzín;2015;63000;63;NH
BMW;rad 1;8300;Diesel;2009;247111;105;E87 mod.07
Dodge;Nitro;8200;Diesel;2008;4;169;1D8GUE8987W739810
Opel;Insignia;7800;Benzín;2010;278000;162;0G-A
Fiat;Ducato;3750;Diesel;2004;225000;81;244
Ford;Focus Combi;1000;Benzín;2002;251375;74;DNW mod.02
Mercedes;E trieda;32000;Benzín;2016;60000;135;W213
Škoda;Superb;29500;Diesel;2018;150000;140;3V
Ford;Tourneo Custom;39999;Diesel;2023;14000;125;4 (9 miest)
Peugeot;208;13363;Benzín;2022;17811;74;5 (5 miest)
KIA;Cee’d;10200;Diesel;2017;85000;100;5 (5 miest)
Ferrari;458;170000;Benzín;2011;76000;416;2
Porsche;Cayenne;102990;Hybrid (benzín/elektro);2020;78000;340;5 (5 miest)
Volkswagen;Golf;16500;Benzín;2019;81000;110;5G1 mod.17
Audi;RS e-tron GT;114900;Elektro;2022;4;24;WAUZZZFW5N7801387
Jaguar;XE;23990;Diesel;2018;138500;132;4 (5 miest)
Renault;Master Furgon;6200;Diesel;2009;313629;88;2 (3 miesta)
Volkswagen;Touran;10500;Diesel;2013;179570;103;1T mod.10
Škoda;Octavia Combi;8500;Diesel;2010;340000;125;1Z mod.09
